system:time_start,Water,Disturbed,Forested,Sedge-Sphagnum,Pine-Sphagnum
1-Jan-00,0.659,0.626,0.651,0.619,0.664
1-Jan-01,0.64,0.615,0.628,0.605,0.644
1-Jan-02,0.64,0.617,0.633,0.608,0.657
1-Jan-03,0.638,0.626,0.63,0.611,0.66
1-Jan-04,0.636,0.632,0.632,0.614,0.655
1-Jan-05,0.622,0.626,0.617,0.603,0.643
1-Jan-06,0.615,0.622,0.616,0.601,0.626
1-Jan-07,0.636,0.631,0.631,0.616,0.646
1-Jan-08,0.634,0.642,0.63,0.619,0.653
1-Jan-09,0.629,0.618,0.61,0.611,0.646
1-Jan-10,0.655,0.631,0.63,0.635,0.666
1-Jan-11,0.657,0.627,0.62,0.636,0.668
1-Jan-12,0.645,0.624,0.614,0.626,0.657
1-Jan-13,0.671,0.64,0.63,0.642,0.679
1-Jan-14,0.664,0.646,0.624,0.636,0.677
1-Jan-15,0.665,0.647,0.628,0.628,0.675
1-Jan-16,0.682,0.661,0.649,0.649,0.689
1-Jan-17,0.672,0.646,0.63,0.637,0.676
1-Jan-18,0.678,0.646,0.633,0.639,0.677
1-Jan-19,0.662,0.637,0.622,0.633,0.668
1-Jan-20,0.677,0.659,0.637,0.647,0.681
1-Jan-21,0.67,0.659,0.631,0.637,0.682
